candidate_id,family,economic_risk_factor,mechanism,datasets_combined,condition,N,gross_bps,net_bps,pf,t,years
W8-9b,stablecoin_flow_x_repeat_edge_amplification,leverage_unwind_liquidity,stablecoin supply 7d change (fresh-capital availability) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + stablecoin_flow,"stablecoin_flow top quartile, repeat bucket",4948,-3.9,-17.9,0.97,-0.68,"2021:-24.0, 2022:-16.9, 2023:-60.0, 2024:-30.7, 2025:1.4, 2026:-23.5"
W8-9c,stablecoin_flow_x_repeat_edge_amplification,leverage_unwind_liquidity,stablecoin supply 7d change (fresh-capital availability) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + stablecoin_flow,"stablecoin_flow bottom quartile, repeat bucket",4977,-1.6,-15.6,0.98,-0.36,"2021:-33.0, 2022:-40.1, 2023:-26.3, 2024:39.4, 2025:46.7, 2026:-26.1"
W8-10b,cross_venue_funding_div_x_repeat_edge_amplification,fragmented_leverage,Binance-vs-Bybit funding divergence (fragmented leverage) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + cross_venue_funding_div,"cross_venue_funding_div top quartile, repeat bucket",956,-6.9,-20.9,0.92,-0.79,"2022:-46.4, 2023:-29.4, 2024:-14.5, 2025:7.8, 2026:-51.8"
W8-10c,cross_venue_funding_div_x_repeat_edge_amplification,fragmented_leverage,Binance-vs-Bybit funding divergence (fragmented leverage) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + cross_venue_funding_div,"cross_venue_funding_div bottom quartile, repeat bucket",955,-6.3,-20.3,0.92,-0.81,"2022:-9.6, 2023:-4.3, 2024:-36.8, 2025:-27.7, 2026:-11.1"
W8-11b,quarterly_basis_x_repeat_edge_amplification,structural_carry_leverage,BTC+ETH quarterly-futures basis level (structural carry leverage) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + quarterly_basis,"quarterly_basis top quartile, repeat bucket",4966,-15.4,-29.4,0.88,-3.07,"2021:-57.9, 2022:-33.2, 2023:-56.3, 2024:-33.3, 2025:3.5, 2026:-9.6"
W8-11c,quarterly_basis_x_repeat_edge_amplification,structural_carry_leverage,BTC+ETH quarterly-futures basis level (structural carry leverage) as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + quarterly_basis,"quarterly_basis bottom quartile, repeat bucket",4949,-19.4,-33.4,0.81,-4.52,"2021:-105.2, 2022:-31.4, 2023:-44.8, 2024:13.4, 2025:5.6, 2026:-30.8"
W8-12b,sentiment_x_repeat_edge_amplification,panic_capitulation,fear/greed index as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + sentiment,"sentiment top quartile, repeat bucket",5121,-14.5,-28.5,0.89,-2.49,"2021:-25.5, 2023:-57.2, 2024:-37.6, 2025:8.6"
W8-12c,sentiment_x_repeat_edge_amplification,panic_capitulation,fear/greed index as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + sentiment,"sentiment bottom quartile, repeat bucket",4965,-9.7,-23.7,0.91,-2.14,"2021:-97.7, 2022:-30.5, 2023:-49.7, 2024:-48.2, 2025:26.2, 2026:-29.8"
W8-13b,dvol_stress_x_repeat_edge_amplification,implied_vol_stress,BTC DVOL rolling 180d percentile as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + dvol_stress,"dvol_stress top quartile, repeat bucket",5017,-8.8,-22.8,0.93,-1.85,"2021:-218.4, 2022:-41.6, 2023:-43.9, 2024:-29.8, 2025:18.8, 2026:-10.9"
W8-13c,dvol_stress_x_repeat_edge_amplification,implied_vol_stress,BTC DVOL rolling 180d percentile as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + dvol_stress,"dvol_stress bottom quartile, repeat bucket",4943,-5.1,-19.1,0.94,-1.4,"2021:5.4, 2022:-26.9, 2023:-34.9, 2024:25.7, 2025:-12.5, 2026:-20.2"
W8-14b,options_skew_x_repeat_edge_amplification,crash_hedge_positioning,BTC 25-delta skew rolling percentile as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + options_skew,"options_skew top quartile, repeat bucket",3996,5.1,-8.9,1.05,1.07,"2023:-10.5, 2024:-11.6, 2025:2.4, 2026:-19.0"
W8-14c,options_skew_x_repeat_edge_amplification,crash_hedge_positioning,BTC 25-delta skew rolling percentile as amplifier of the repeat-cascade continuation edge (n_events_sym_24h>=1),events/liq_cascade_dataset(+n_events_sym_24h) + options_skew,"options_skew bottom quartile, repeat bucket",3982,-11.1,-25.1,0.89,-2.62,"2023:-21.3, 2024:-39.9, 2025:-5.2, 2026:-31.5"
