candidate_id,family,economic_risk_factor,mechanism,datasets_combined,condition,N_raw,N_independent,gross_bps,net_bps,pf,decl_net_bps,decl_t,years
W8-1a,stablecoin_flow_x_liq_continuation,leverage_unwind_liquidity,stablecoin supply expansion (fresh capital) as regime for cascade continuation,stablecoins/supply_daily + events/liq_cascade_dataset,supply expanding (top quartile 7d chg),9535,4816,8.4,-5.6,1.08,-16.5,-0.77,"2021:5.8, 2022:-5.6, 2023:-35.5, 2024:-19.0, 2025:9.4, 2026:-7.7"
W8-1b,stablecoin_flow_x_liq_continuation,leverage_unwind_liquidity,stablecoin supply contraction/flat as regime for cascade continuation,stablecoins/supply_daily + events/liq_cascade_dataset,supply contracting (bottom quartile 7d chg),9547,4832,-2.2,-16.2,0.98,-20.7,-2.47,"2021:-13.2, 2022:-29.3, 2023:-25.0, 2024:22.6, 2025:34.5, 2026:-28.0"
W8-1c,stablecoin_flow_x_liq_continuation,leverage_unwind_liquidity,marginal (all regimes) reference for W8-1,stablecoins/supply_daily + events/liq_cascade_dataset,"marginal (unconditional, same subsample)",38125,18335,-3.5,-17.5,0.96,-22.2,-5.79,"2021:0.6, 2022:-17.7, 2023:-29.0, 2024:-22.3, 2025:0.9, 2026:-24.3"
W8-2a,cross_venue_funding_divergence_x_liq,fragmented_leverage,high Binance-vs-Bybit funding divergence (fragmented/uncrowded-together leverage) as regime for cascade continuation,"derivatives_backfill/{binance,bybit}/funding + events/liq_cascade_dataset",funding divergence top quartile (9-symbol subset),1807,1139,3.0,-11.0,1.04,-19.0,-0.94,"2022:-17.9, 2023:-13.5, 2024:-13.9, 2025:12.1, 2026:-33.2"
W8-2b,cross_venue_funding_divergence_x_liq,fragmented_leverage,low cross-venue funding divergence (well-arbitraged) as regime for cascade continuation,"derivatives_backfill/{binance,bybit}/funding + events/liq_cascade_dataset",funding divergence bottom quartile (9-symbol subset),1807,1111,-1.0,-15.0,0.99,-23.5,-2.04,"2022:3.3, 2023:-14.9, 2024:-30.3, 2025:5.1, 2026:-10.9"
W8-3a,quarterly_basis_regime_x_liq,structural_carry_leverage,rich market-wide quarterly-futures basis (structural/institutional carry leverage) as regime for cascade continuation,derivatives_backfill/binance_vision_quarterly + um_klines_1d + events/liq_cascade_dataset,BTC+ETH quarterly basis top quartile,9533,4544,-12.4,-26.4,0.89,-35.8,-6.65,"2021:4.1, 2022:29.0, 2023:-74.4, 2024:-28.9, 2025:-2.0, 2026:-25.4"
W8-3b,quarterly_basis_regime_x_liq,structural_carry_leverage,cheap/backwardated market-wide quarterly basis as regime for cascade continuation,derivatives_backfill/binance_vision_quarterly + um_klines_1d + events/liq_cascade_dataset,BTC+ETH quarterly basis bottom quartile,9524,4887,-11.9,-25.9,0.87,-25.3,-4.3,"2021:-17.2, 2022:-19.1, 2023:-26.6, 2024:-43.8, 2025:-93.8, 2026:-34.4"
W8-4a,sentiment_regime_x_liq_continuation,panic_capitulation,extreme-fear regime (real panic/capitulation dynamics) as conditioner for cascade continuation,news_backfill/fear_greed + events/liq_cascade_dataset,fear_greed <= 25 (extreme fear),8239,4336,-5.3,-19.3,0.95,-18.0,-1.34,"2021:-31.9, 2022:-16.3, 2023:-46.7, 2024:-1.8, 2025:-0.9, 2026:-29.4"
W8-4b,sentiment_regime_x_liq_continuation,panic_capitulation,neutral sentiment regime as conditioner for cascade continuation,news_backfill/fear_greed + events/liq_cascade_dataset,fear_greed 40-60 (neutral),9450,5112,1.4,-12.6,1.02,-16.1,-0.89,"2021:-45.1, 2022:-0.0, 2023:-24.1, 2024:1.8, 2025:-7.1, 2026:4.7"
W8-4c,sentiment_regime_x_liq_continuation,panic_capitulation,extreme-greed regime as conditioner for cascade continuation,news_backfill/fear_greed + events/liq_cascade_dataset,fear_greed >= 75 (extreme greed),3814,1729,-12.0,-26.0,0.91,-42.0,-4.64,"2021:-39.2, 2023:-55.4, 2024:-33.0, 2025:40.6"
W8-5a,options_stress_regime_x_liq_continuation,implied_vol_stress,high BTC DVOL percentile (crypto-wide options-implied stress) as regime for ANY symbol's cascade continuation,options_backfill/deribit/DVOL_BTC + events/liq_cascade_dataset,DVOL rolling 180d percentile >= 0.75,9481,4614,-10.4,-24.4,0.91,-31.4,-5.11,"2021:-74.3, 2022:-13.3, 2023:-49.5, 2024:-27.5, 2025:-0.3, 2026:-26.4"
W8-5b,options_stress_regime_x_liq_continuation,implied_vol_stress,low BTC DVOL percentile as regime for cascade continuation,options_backfill/deribit/DVOL_BTC + events/liq_cascade_dataset,DVOL rolling 180d percentile <= 0.25,16422,8209,-2.6,-16.6,0.97,-20.3,-3.24,"2021:27.0, 2022:-19.2, 2023:-21.8, 2024:-12.6, 2025:-9.6, 2026:-34.8"
W8-6a,options_skew_regime_x_liq_continuation,crash_hedge_positioning,put-heavy skew (crash protection already priced/positioned) as regime for cascade continuation,options_backfill/deribit/features/BTC_daily + events/liq_cascade_dataset,skew_25ish rolling percentile <= 0.25 (most put-skewed),5755,3118,-14.6,-28.6,0.85,-34.4,-5.83,"2023:-25.0, 2024:-39.8, 2025:-16.0, 2026:-28.2"
W8-6b,options_skew_regime_x_liq_continuation,crash_hedge_positioning,complacent skew (little crash protection priced) as regime for cascade continuation,options_backfill/deribit/features/BTC_daily + events/liq_cascade_dataset,skew_25ish rolling percentile >= 0.75 (least put-skewed),8826,4922,1.8,-12.2,1.02,-17.5,-1.29,"2023:-14.7, 2024:-7.0, 2025:-6.4, 2026:-24.3"
